Product name,Sales Price,Barcode,Cost,Internal Reference,Item Classification,Item Classification Code(zra),Origin Place Code (Nation),Origin Place (Nation),Export Nation Code,Export Nation,Packaging Unit Code (zra),Packaging Unit,VAT Category Code,ZRA Product Type,Quantity Unit Code(zra),ZRA Unit of Measure,ZRA Purchase Unit of Measure,Insurance Applicable (Y/N),Indication of whether an item has rental or not,Indication of whether an item has service charge,Used/UnUsed,ZRA Modify Y/N,Company,Taxes,tlCatCd,ExciseCatCd,Destination Country Code,Is Import Item?,Declaration Date,Import Item Status Code,Manufacturer item code for MTV product,Manufacturer TPIN for MTV product,RRP,Point of Sale Category
 NAOMI SHOWER GEL OUD & ROSE  1L ,78.00,6290361007341,78.00,,4332255500,Unclassified product,ZM,ZAMBIA ,,,EA,Each,A,2,U,Each,Each,N,N,N,Y,Y,Young Phiroz Kitwe Grocery,Standard Rated(16%),,,,,,,,,,GROCERY
AL-RISHENG LORD PERFUME 100ML,29.00,6927524602784,29.00,,4332255500,Unclassified product,ZM,ZAMBIA ,,,EA,Each,A,2,U,Each,Each,N,N,N,Y,Y,Young Phiroz Kitwe Grocery,Standard Rated(16%),,,,,,,,,,GROCERY
ARMAF BODY SPRAY CANDEE 200ML,53.00,6295199800294,53.00,,4332255500,Unclassified product,ZM,ZAMBIA ,,,EA,Each,E,2,U,Each,Each,N,N,N,Y,Y,Young Phiroz Kitwe Grocery,Standard Rated(16%),,,,,,,,,,GROCERY
ARMAF BODY SPRAY TRES NUIT 200ML ,53.00,6085010094922,53.00,,4332255500,Unclassified product,ZM,ZAMBIA ,,,EA,Each,A,2,U,Each,Each,N,N,N,Y,Y,Young Phiroz Kitwe Grocery,Standard Rated(16%),,,,,,,,,,GROCERY
ARMAF BODY SPRAY VANITY FEMME  200ML ,53.00,6085010092508,53.00,,4332255500,Unclassified product,ZM,ZAMBIA ,,,EA,Each,A,2,U,Each,Each,N,N,N,Y,Y,Young Phiroz Kitwe Grocery,Standard Rated(16%),,,,,,,,,,GROCERY
ARMAF SPRAY TAG HIM FOR MEN 200ML ,53.00,6085010092539,53.00,,4332255500,Unclassified product,ZM,ZAMBIA ,,,EA,Each,E,2,U,Each,Each,N,N,N,Y,Y,Young Phiroz Kitwe Grocery,Standard Rated(16%),,,,,,,,,,GROCERY
AXE PERFUME BLACK 100ML ,39.00,6972011066563,39.00,APB100ML,4332255500,Unclassified product,ZM,ZAMBIA ,,,EA,Each,A,2,U,Each,Each,N,N,N,Y,Y,Young Phiroz Kitwe Grocery,Standard Rated(16%),,,,,,,,,,PARFUMES
AXE PERFUME KILIMANJARO 100ML,39.00,6972011067294,39.00,,4332255500,Unclassified product,ZM,ZAMBIA ,,,EA,Each,A,2,U,Each,Each,Y,N,N,Y,Y,Young Phiroz Kitwe Grocery,Standard Rated(16%),,,,,,,,,,PARFUMES
BIGTREE SWEET LEAF GINGER CHAI 18G,5.00,6009644997213,5.00,,4332255500,Unclassified product,ZM,ZAMBIA,,,EA,Each,A,2,U,Each,Each,N,N,N,Y,Y,Young Phiroz Kitwe Grocery,Standard Rated(16%),,,,,,,,,,GROCERY
